SAPCE3 Personal consumption expenditures (PCE) by state by type of product 1
SAPCE3 Personal consumption expenditures (PCE) by state by type of product 1
State or DC
GeoFips,GeoName,LineCode,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
06000,California,56,"          Water supply and sanitation",5784.7,6087.5,6443.7,6689.2,6975.1,7385.0,7728.2,8137.2,8571.6,9121.8,9554.3,10067.5,10532.7,11080.6,11329.1,11908.4,12633.0,13146.1,13011.0,13264.3,14248.4,15255.8,16057.0,15826.1,16627.6,17437.0,18482.7
06000,California,57,"          Electricity and gas",11539.5,11480.1,11589.6,12688.7,13829.1,13053.2,14153.1,14827.5,16628.8,17669.9,18332.4,19231.1,17718.0,18195.2,18086.4,18191.6,19321.1,19208.3,19148.0,20268.0,21994.2,22331.3,22904.5,24930.9,27922.5,33112.1,33533.2
06000,California,58,"            Electricity",8493.8,8774.7,8821.9,9300.6,9814.7,9911.0,10390.3,10679.9,11555.2,12934.5,13351.1,13785.0,13609.7,13816.5,13740.5,14262.7,15031.6,14996.2,15399.2,16152.3,17249.7,17625.8,17673.3,19699.6,21612.3,25101.0,26576.3
06000,California,59,"            Natural gas",3045.7,2705.4,2767.7,3388.1,4014.4,3142.1,3762.9,4147.7,5073.6,4735.4,4981.2,5446.1,4108.3,4378.7,4345.9,3928.9,4289.6,4212.0,3748.8,4115.7,4744.6,4705.6,5231.2,5231.4,6310.2,8011.1,6956.9
06000,California,60,"      Health care",93512.9,97529.5,99565.0,103280.8,110028.0,118736.8,127950.3,137785.2,147852.8,156875.7,167305.7,179589.6,189772.1,198184.7,207814.3,216641.2,225992.5,238112.9,258600.4,272200.1,287450.0,306125.6,325015.5,309048.3,347946.0,369795.6,404205.2
06000,California,61,"        Outpatient services",55420.0,56321.0,56460.3,57523.7,59481.1,63749.6,69223.3,74827.9,81002.5,85481.5,91572.5,98260.6,102657.1,103918.9,107544.1,112505.5,116348.7,124520.9,134548.4,142742.1,155289.8,163707.1,173188.3,165656.6,188822.3,202523.2,222853.8
06000,California,62,"          Physician services",29343.7,29616.1,29642.7,30387.4,30753.4,32834.5,35854.5,39387.5,42746.9,45780.8,49213.2,53217.0,56370.7,57521.2,59389.0,62113.5,63245.5,67296.8,70691.8,72344.8,77062.6,79960.4,83797.6,80081.5,89095.5,94429.6,103158.9
06000,California,63,"          Dental services",7572.4,8262.1,8531.0,9065.1,9752.6,10943.2,11467.2,12073.2,12894.1,13092.7,13872.9,14782.7,14248.1,14024.4,13983.1,13944.8,13730.6,13891.6,14392.6,15021.1,15988.4,17240.2,18411.7,14895.4,18562.6,20556.3,21553.5
06000,California,64,"          Paramedical services",18503.8,18442.8,18286.6,18071.2,18975.1,19971.9,21901.6,23367.2,25361.5,26608.1,28486.4,30260.9,32038.3,32373.3,34172.0,36447.2,39372.7,43332.5,49464.0,55376.2,62238.9,66506.5,70979.1,70679.7,81164.2,87537.2,98141.4
06000,California,65,"        Hospital and nursing home services",38092.9,41208.5,43104.7,45757.1,50546.8,54987.2,58727.0,62957.3,66850.2,71394.2,75733.2,81329.0,87115.0,94265.8,100270.2,104135.7,109643.8,113592.0,124052.0,129458.0,132160.1,142418.5,151827.2,143391.7,159123.7,167272.4,181351.4
